,Movie_title,Audience_review,Critic_review,Runtime,Distributor,Covered,Actors,Producer,Cinematography,Editing,Music
786,Sandy Wexler,40,27,131.0,1,0.0,1,0,1,0,1
787,The Dark Tapes,57,89,98.0,0,0.0,1,0,1,0,0
789,Teen Titans: The Judas Contract,71,83,84.0,0,0.0,0,0,0,0,0
792,Rogue One: A Star Wars Story,86,84,133.0,1,0.0,0,0,0,1,1
794,Why Him?,51,39,111.0,1,0.0,1,0,0,0,0
795,The Bounce Back,76,67,104.0,0,0.0,1,0,0,0,0
797,Miss Sloane,71,76,127.0,0,0.0,0,0,0,0,0
798,Office Christmas Party,40,41,105.0,1,0.0,0,0,0,0,0
801,20th Century Women,74,89,118.0,0,0.0,0,0,0,0,0
802,Don't Kill It,37,92,83.0,0,0.0,0,0,0,0,0
804,Multiple Maniacs,73,100,96.0,0,1.0,0,0,0,0,0
807,Collateral Beauty,64,14,97.0,1,1.0,1,0,0,1,0
809,The Love Witch,60,95,120.0,0,1.0,0,0,1,0,0
810,Always Shine,53,91,85.0,0,1.0,0,0,0,0,0
813,A Kind of Murder,14,33,95.0,1,1.0,1,0,0,0,1
814,La Leyenda del Chupacabras,0,25,82.0,0,1.0,1,0,0,0,0
815,Trespass Against Us,25,57,99.0,0,1.0,0,0,0,0,0
816,The Red Pill,92,29,117.0,0,0.0,0,0,0,0,0
817,100 Streets,35,41,93.0,0,0.0,0,0,0,0,0
821,I Am Michael,37,64,101.0,0,0.0,1,0,1,0,0
823,Hacksaw Ridge,91,85,139.0,0,1.0,0,0,0,1,1
824,Bad Santa 2,33,22,92.0,0,0.0,0,0,0,0,1
828,Rules Don't Apply,34,55,126.0,1,0.0,0,0,0,0,0
830,Contract to Kill,19,0,90.0,0,1.0,0,0,0,0,0
838,The Edge of Seventeen,83,94,104.0,0,0.0,1,0,1,0,1
842,Nocturnal Animals,73,73,116.0,0,0.0,0,0,0,0,0
843,Tharlo,0,89,123.0,0,1.0,0,0,0,0,0
850,Jack Reacher: Never Go Back,42,38,118.0,1,0.0,1,0,1,0,1
851,USS Indianapolis: Men of Courage,30,17,130.0,0,1.0,1,0,0,0,0
852,Desierto,46,62,88.0,0,1.0,0,0,0,0,0
853,The Eagle Huntress,86,93,87.0,0,1.0,0,0,0,0,0
854,Frank & Lola,38,68,88.0,0,1.0,1,0,0,0,0
855,Cameraperson,69,99,102.0,0,1.0,0,0,0,0,0
856,Tyler Perry's Boo! A Madea Halloween,52,20,103.0,0,1.0,1,0,0,0,0
858,Gimme Danger,69,94,108.0,0,1.0,0,0,0,1,0
859,I'm Not Ashamed,82,20,112.0,0,0.0,0,0,0,0,0
867,Ouija: Origin of Evil,57,82,99.0,1,1.0,0,0,0,0,0
868,Kevin Hart: What Now?,58,75,96.0,0,0.0,0,0,0,1,1
871,The Birth of a Nation,71,72,12.0,0,0.0,0,0,0,0,0
879,Hillsong - Let Hope Rise,79,60,103.0,0,1.0,0,0,0,0,0
880,The Disappointments Room,17,0,85.0,0,1.0,0,0,0,0,1
881,The Magnificent Seven,72,64,128.0,0,1.0,0,0,0,0,0
883,Southside With You,72,92,80.0,0,0.0,0,0,0,0,0
885,Bridget Jones's Baby,65,78,123.0,0,0.0,1,0,1,0,0
889,No Manches Frida,74,13,100.0,0,1.0,0,0,0,0,0
892,In a Valley of Violence,51,76,99.0,0,1.0,1,1,0,0,0
893,Let's Be Evil,16,18,82.0,1,0.0,0,0,0,0,0
895,The Secret Life of Pets,62,73,86.0,1,0.0,1,0,0,0,1
900,The Hollars,58,46,89.0,1,0.0,0,0,1,0,0
908,Don't Think Twice,69,98,92.0,0,1.0,0,0,0,0,0
909,Be My Cat: A Film for Anne,62,83,87.0,0,0.0,0,0,0,0,0
913,Finding Dory,84,94,97.0,1,0.0,0,0,0,0,1
916,Yoga Hosers,34,22,88.0,0,0.0,0,0,0,0,0
917,Mechanic: Resurrection,40,32,98.0,0,1.0,1,0,0,0,1
918,Don't Breathe,78,88,88.0,0,0.0,0,0,0,0,0
919,Kubo and the Two Strings,86,97,102.0,0,1.0,0,0,0,0,0
922,Absolutely Fabulous: The Movie,41,58,91.0,0,1.0,0,0,0,0,0
923,Hands of Stone,52,44,111.0,0,1.0,1,0,0,0,0
928,Star Trek Beyond,80,86,122.0,1,0.0,0,0,0,0,1
929,Sausage Party,50,83,89.0,0,1.0,0,0,0,0,0
931,"My Love, Don't Cross That River",65,77,85.0,0,1.0,0,0,0,0,0
